Temps(s); Volant avec vibr ;; Volant sans vibr 
0,35;3,49;;3,53
0,351;3,45;;3,5
0,352;3,46;;3,49
0,353;3,45;;3,49
0,354;3,45;;3,47
0,355;3,44;;3,45
0,356;3,41;;3,45
0,357;3,41;;3,45
0,358;3,41;;3,41
0,359;3,39;;3,43
0,36;3,37;;3,41
0,361;3,37;;3,38
0,362;3,33;;3,37
0,363;3,33;;3,37
0,364;3,33;;3,37
0,365;3,32;;3,34
0,366;3,29;;3,33
0,367;3,28;;3,33
0,368;3,25;;3,29
0,369;3,25;;3,29
0,37;3,21;;3,29
0,371;3,21;;3,29
0,372;3,21;;3,25
0,373;3,21;;3,25
0,374;3,18;;3,21
0,375;3,17;;3,21
0,376;3,17;;3,21
0,377;3,13;;3,21
0,378;3,11;;3,17
0,379;3,1;;3,17
0,38;3,09;;3,13
0,381;3,09;;3,13
0,382;3,05;;3,09
0,383;3,05;;3,12
0,384;3,05;;3,09
0,385;3,01;;3,09
0,386;3,04;;3,05
0,387;3;;3,05
0,388;2,97;;3,05
0,389;2,97;;3,01
0,39;2,93;;3,01
0,391;2,96;;3,01
0,392;2,93;;2,97
0,393;2,89;;2,96
0,394;2,89;;2,97
0,395;2,89;;2,93
0,396;2,84;;2,93
0,397;2,83;;2,92
0,398;2,8;;2,89
0,399;2,8;;2,87
0,4;2,76;;2,84
0,401;2,76;;2,84
0,402;2,76;;2,8
0,403;2,75;;2,8
0,404;2,72;;2,76
0,405;2,69;;2,76
0,406;2,68;;2,73
0,407;2,68;;2,72
0,408;2,67;;2,72
0,409;2,62;;2,68
0,41;2,61;;2,68
0,411;2,6;;2,67
0,412;2,56;;2,64
0,413;2,56;;2,64
0,414;2,56;;2,6
0,415;2,53;;2,6
0,416;2,52;;2,56
0,417;2,48;;2,56
0,418;2,48;;2,55
0,419;2,46;;2,52
0,42;2,44;;2,5
0,421;2,44;;2,48
0,422;2,4;;2,48
0,423;2,36;;2,48
0,424;2,34;;2,44
0,425;2,36;;2,42
0,426;2,32;;2,4
0,427;2,31;;2,4
0,428;2,28;;2,36
0,429;2,26;;2,32
0,43;2,24;;2,34
0,431;2,2;;2,32
0,432;2,2;;2,28
0,433;2,19;;2,28
0,434;2,2;;2,27
0,435;2,16;;2,24
0,436;2,16;;2,24
0,437;2,12;;2,2
0,438;2,12;;2,17
0,439;2,08;;2,16
0,44;2,08;;2,16
0,441;2,08;;2,13
0,442;2,04;;2,12
0,443;2,04;;2,08
0,444;2,02;;2,11
0,445;2;;2,08
0,446;2;;2,04
0,447;1,96;;2,04
0,448;1,96;;2,04
0,449;1,96;;2
0,45;1,93;;2
0,451;1,92;;2
0,452;1,92;;1,96
0,453;1,91;;1,96
0,454;1,88;;1,96
0,455;1,88;;1,92
0,456;1,88;;1,92
0,457;1,84;;1,88
0,458;1,84;;1,88
0,459;1,84;;1,88
0,46;1,83;;1,87
0,461;1,8;;1,84
0,462;1,8;;1,84
0,463;1,78;;1,84
0,464;1,76;;1,84
0,465;1,79;;1,8
0,466;1,76;;1,8
0,467;1,75;;1,8
0,468;1,74;;1,77
0,469;1,72;;1,76
0,47;1,72;;1,76
0,471;1,72;;1,76
0,472;1,71;;1,76
0,473;1,7;;1,72
0,474;1,68;;1,72
0,475;1,68;;1,72
0,476;1,68;;1,69
0,477;1,64;;1,68
0,478;1,64;;1,68
0,479;1,64;;1,68
0,48;1,64;;1,68
0,481;1,64;;1,67
0,482;1,64;;1,64
0,483;1,62;;1,65
0,484;1,62;;1,64
0,485;1,6;;1,64
0,486;1,6;;1,64
0,487;1,6;;1,64
0,488;1,6;;1,61
0,489;1,6;;1,6
0,49;1,59;;1,6
0,491;1,6;;1,6
0,492;1,56;;1,6
0,493;1,56;;1,6
0,494;1,56;;1,6
0,495;1,56;;1,58
0,496;1,56;;1,57
0,497;1,53;;1,6
0,498;1,54;;1,57
0,499;1,54;;1,56
0,5;1,55;;1,56
0,501;1,52;;1,56
0,502;1,55;;1,56
0,503;1,52;;1,56
0,504;1,52;;1,52
0,505;1,52;;1,54
0,506;1,52;;1,52
0,507;1,53;;1,52
0,508;1,52;;1,52
0,509;1,52;;1,52
0,51;1,52;;1,52
0,511;1,52;;1,52
0,512;1,52;;1,52
0,513;1,52;;1,49
0,514;1,52;;1,52
0,515;1,51;;1,52
0,516;1,52;;1,52
0,517;1,52;;1,52
0,518;1,52;;1,52
0,519;1,5;;1,52
0,52;1,48;;1,52
0,521;1,48;;1,52
0,522;1,52;;1,52
0,523;1,52;;1,52
0,524;1,48;;1,52
0,525;1,51;;1,52
0,526;1,52;;1,52
0,527;1,49;;1,52
0,528;1,5;;1,52
0,529;1,5;;1,52
0,53;1,52;;1,52
0,531;1,48;;1,52
0,532;1,52;;1,52
0,533;1,5;;1,52
0,534;1,52;;1,52
0,535;1,51;;1,52
0,536;1,52;;1,52
0,537;1,52;;1,52
0,538;1,5;;1,52
0,539;1,5;;1,52
0,54;1,52;;1,52
0,541;1,52;;1,52
0,542;1,52;;1,52
0,543;1,52;;1,52
0,544;1,52;;1,52
0,545;1,52;;1,52
0,546;1,52;;1,52
0,547;1,52;;1,52
0,548;1,52;;1,52
0,549;1,52;;1,52
0,55;1,52;;1,54
0,551;1,52;;1,52
0,552;1,53;;1,56
0,553;1,54;;1,56
0,554;1,56;;1,56
0,555;1,55;;1,54
0,556;1,56;;1,56
0,557;1,56;;1,56
0,558;1,56;;1,56
0,559;1,56;;1,58
0,56;1,56;;1,58
0,561;1,56;;1,56
0,562;1,56;;1,56
0,563;1,58;;1,59
0,564;1,6;;1,56
0,565;1,6;;1,58
0,566;1,6;;1,6
0,567;1,6;;1,6
0,568;1,6;;1,6
0,569;1,6;;1,6
0,57;1,6;;1,6
0,571;1,6;;1,6
0,572;1,61;;1,6
0,573;1,64;;1,64
0,574;1,64;;1,64
0,575;1,64;;1,64
0,576;1,64;;1,64
0,577;1,64;;1,64
0,578;1,64;;1,64
0,579;1,66;;1,66
0,58;1,64;;1,64
0,581;1,64;;1,67
0,582;1,67;;1,64
0,583;1,68;;1,65
0,584;1,68;;1,66
0,585;1,68;;1,68
0,586;1,68;;1,68
0,587;1,72;;1,68
0,588;1,72;;1,68
0,589;1,72;;1,72
0,59;1,72;;1,7
0,591;1,72;;1,72
0,592;1,72;;1,72
0,593;1,74;;1,72
0,594;1,76;;1,72
0,595;1,76;;1,74
0,596;1,76;;1,76
0,597;1,76;;1,76
0,598;1,78;;1,73
0,599;1,8;;1,76
0,6;1,8;;1,78
0,601;1,8;;1,77
0,602;1,8;;1,8
0,603;1,82;;1,8
0,604;1,8;;1,8
0,605;1,84;;1,8
0,606;1,84;;1,83
0,607;1,85;;1,84
0,608;1,84;;1,84
0,609;1,87;;1,84
0,61;1,88;;1,84
0,611;1,88;;1,84
0,612;1,88;;1,84
0,613;1,9;;1,88
0,614;1,91;;1,88
0,615;1,92;;1,88
0,616;1,92;;1,89
0,617;1,95;;1,92
0,618;1,96;;1,92
0,619;1,95;;1,92
0,62;1,96;;1,92
0,621;1,96;;1,96
0,622;1,97;;1,96
0,623;1,98;;1,96
0,624;1,99;;1,96
0,625;2;;1,99
0,626;2;;2
0,627;2,04;;2
0,628;2,02;;2
0,629;2,07;;2
0,63;2,05;;2,04
0,631;2,08;;2,04
0,632;2,08;;2,04
0,633;2,08;;2,08
0,634;2,11;;2,08
0,635;2,12;;2,08
0,636;2,12;;2,09
0,637;2,12;;2,08
0,638;2,16;;2,09
0,639;2,16;;2,12
0,64;2,16;;2,12
0,641;2,2;;2,12
0,642;2,2;;2,16
0,643;2,2;;2,16
0,644;2,2;;2,18
0,645;2,23;;2,2
0,646;2,24;;2,2
0,647;2,24;;2,2
0,648;2,24;;2,24
0,649;2,26;;2,24
0,65;2,28;;2,24
0,651;2,32;;2,24
0,652;2,32;;2,28
0,653;2,32;;2,28
0,654;2,32;;2,28
0,655;2,33;;2,3
0,656;2,36;;2,31
0,657;2,36;;2,32
0,658;2,38;;2,32
0,659;2,4;;2,36
0,66;2,4;;2,35
0,661;2,4;;2,39
0,662;2,44;;2,4
0,663;2,44;;2,4
0,664;2,44;;2,42
0,665;2,44;;2,42
0,666;2,48;;2,44
0,667;2,48;;2,44
0,668;2,48;;2,44
0,669;2,48;;2,48
0,67;2,52;;2,48
0,671;2,52;;2,48
0,672;2,52;;2,48
0,673;2,52;;2,52
0,674;2,55;;2,52
0,675;2,56;;2,52
0,676;2,56;;2,52
0,677;2,59;;2,52
0,678;2,6;;2,53
0,679;2,6;;2,56
0,68;2,6;;2,56
0,681;2,6;;2,56
0,682;2,6;;2,6
0,683;2,64;;2,6
0,684;2,64;;2,6
0,685;2,64;;2,6
0,686;2,64;;2,6
0,687;2,68;;2,64
0,688;2,64;;2,61
0,689;2,68;;2,64
0,69;2,65;;2,64
0,691;2,68;;2,64
0,692;2,69;;2,68
0,693;2,68;;2,65
0,694;2,71;;2,68
0,695;2,72;;2,68
0,696;2,68;;2,68
0,697;2,72;;2,72
0,698;2,72;;2,68
0,699;2,75;;2,7
0,7;2,72;;2,72
0,701;2,72;;2,71
0,702;2,73;;2,72
0,703;2,76;;2,73
0,704;2,76;;2,72
0,705;2,76;;2,72
0,706;2,76;;2,72
0,707;2,76;;2,76
0,708;2,76;;2,76
0,709;2,76;;2,76
0,71;2,76;;2,75
0,711;2,76;;2,76
0,712;2,79;;2,76
0,713;2,78;;2,76
0,714;2,8;;2,79
0,715;2,79;;2,76
0,716;2,76;;2,76
0,717;2,8;;2,76
0,718;2,79;;2,79
0,719;2,8;;2,79
0,72;2,8;;2,79
0,721;2,8;;2,76
0,722;2,8;;2,8
0,723;2,8;;2,76
0,724;2,8;;2,78
0,725;2,8;;2,8
0,726;2,8;;2,8
0,727;2,8;;2,8
0,728;2,82;;2,8
0,729;2,83;;2,8
0,73;2,8;;2,8
0,731;2,84;;2,8
0,732;2,8;;2,8
0,733;2,83;;2,8
0,734;2,8;;2,8
0,735;2,83;;2,8
0,736;2,8;;2,8
0,737;2,8;;2,8
0,738;2,8;;2,8
0,739;2,8;;2,8
0,74;2,8;;2,8
0,741;2,8;;2,8
0,742;2,8;;2,8
0,743;2,8;;2,8
0,744;2,8;;2,78
0,745;2,8;;2,8
0,746;2,8;;2,8
0,747;2,8;;2,76
0,748;2,79;;2,79
0,749;2,8;;2,79
0,75;2,8;;2,79
0,751;2,8;;2,76
0,752;2,8;;2,76
0,753;2,8;;2,8
0,754;2,8;;2,76
0,755;2,8;;2,76
0,756;2,8;;2,76
0,757;2,8;;2,76
0,758;2,76;;2,76
0,759;2,79;;2,76
0,76;2,76;;2,76
0,761;2,76;;2,76
0,762;2,76;;2,76
0,763;2,76;;2,76
0,764;2,76;;2,76
0,765;2,76;;2,76
0,766;2,76;;2,76
0,767;2,76;;2,76
0,768;2,76;;2,76
0,769;2,76;;2,76
0,77;2,75;;2,74
0,771;2,76;;2,73
0,772;2,73;;2,76
0,773;2,74;;2,72
0,774;2,72;;2,75
0,775;2,72;;2,72
0,776;2,72;;2,72
0,777;2,72;;2,72
0,778;2,72;;2,72
0,779;2,72;;2,72
0,78;2,72;;2,72
0,781;2,72;;2,72
0,782;2,71;;2,68
0,783;2,72;;2,69
0,784;2,68;;2,71
0,785;2,68;;2,68
0,786;2,68;;2,68
0,787;2,68;;2,68
0,788;2,68;;2,65
0,789;2,68;;2,68
0,79;2,68;;2,66
0,791;2,68;;2,68
0,792;2,64;;2,68
0,793;2,64;;2,64
0,794;2,64;;2,64
0,795;2,64;;2,64
0,796;2,64;;2,63
0,797;2,64;;2,64
0,798;2,62;;2,63
0,799;2,63;;2,63
0,8;2,6;;2,6
0,801;2,64;;2,6
0,802;2,6;;2,6
0,803;2,6;;2,6
0,804;2,6;;2,6
0,805;2,6;;2,6
0,806;2,6;;2,56
0,807;2,56;;2,56
0,808;2,56;;2,59
0,809;2,56;;2,56
0,81;2,56;;2,56
0,811;2,56;;2,56
0,812;2,55;;2,56
0,813;2,54;;2,52
0,814;2,52;;2,55
0,815;2,52;;2,52
0,816;2,52;;2,52
0,817;2,51;;2,52
0,818;2,52;;2,51
0,819;2,48;;2,52
0,82;2,51;;2,48
0,821;2,48;;2,51
0,822;2,48;;2,48
0,823;2,48;;2,48
0,824;2,46;;2,48
0,825;2,48;;2,47
